"Solution","Area","ObsFreq","Order","Solution_chr","avoidforest","avoidgrass","avoidwet","avoidpeat","nfm","plantations","nutrients","rice","integr_trees","silvo","legumes","biochar","ew","wetrestoration","peatrestoration","grassrestoration","reforestation","afforestation","BECCS"
"7,8,12,16,19",11540.9908461416,10845,"Order: 4","nutrients,rice,biochar,grassrestoration,BECCS",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
"7,8,12,17",26804.9717036298,28779,"Order: 3","nutrients,rice,biochar,reforestation",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
"7,8,12,17,19",4423.93526212507,4745,"Order: 4","nutrients,rice,biochar,reforestation,BECCS",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1
"7,8,12,19",7398.49412680043,6655,"Order: 3","nutrients,rice,biochar,BECCS",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
"7,8,13",10657.8962300884,10479,"Order: 2","nutrients,rice,ew",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"7,8,13,14",164.473898122407,177,"Order: 3","nutrients,rice,ew,wetrestoration",0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
"7,8,13,14,19",586.299140839569,707,"Order: 4","nutrients,rice,ew,wetrestoration,BECCS",0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
"7,8,13,15",1096.60660428517,968,"Order: 3","nutrients,rice,ew,peatrestoration",0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
"7,8,13,15,18,19",2.35576746278,2,"Order: 5","nutrients,rice,ew,peatrestoration,afforestation,BECCS",0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1
"7,8,13,15,19",12.9458915500615,11,"Order: 4","nutrients,rice,ew,peatrestoration,BECCS",0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
"7,8,13,16",5772.12333927538,4830,"Order: 3","nutrients,rice,ew,grassrestoration",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
"7,8,13,16,18",3417.06659521998,2878,"Order: 4","nutrients,rice,ew,grassrestoration,afforestation",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0
"7,8,13,16,18,19",1087.38574407367,921,"Order: 5","nutrients,rice,ew,grassrestoration,afforestation,BECCS",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1
"7,8,13,16,19",193.749659119023,180,"Order: 4","nutrients,rice,ew,grassrestoration,BECCS",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
"7,8,13,17",40989.064536961,38281,"Order: 3","nutrients,rice,ew,reforestation",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
"7,8,13,17,19",6138.34222585898,6013,"Order: 4","nutrients,rice,ew,reforestation,BECCS",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
"7,8,13,19",4929.11437094439,5721,"Order: 3","nutrients,rice,ew,BECCS",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
"7,8,14",105.615514467843,115,"Order: 2","nutrients,rice,wetrestoration",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"7,8,14,18",1.20850227251148,1,"Order: 3","nutrients,rice,wetrestoration,afforestation",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
"7,8,14,18,19",34.9883429127579,29,"Order: 4","nutrients,rice,wetrestoration,afforestation,BECCS",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
"7,8,14,19",128.692242712345,136,"Order: 3","nutrients,rice,wetrestoration,BECCS",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
"7,8,15",405.633597192428,351,"Order: 2","nutrients,rice,peatrestoration",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"7,8,15,18,19",4.82439138742149,4,"Order: 4","nutrients,rice,peatrestoration,afforestation,BECCS",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
"7,8,15,19",35.0694566346706,29,"Order: 3","nutrients,rice,peatrestoration,BECCS",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
"7,8,16",8153.10524395953,7369,"Order: 2","nutrients,rice,grassrestoration",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"7,8,16,18",590.613775995024,557,"Order: 3","nutrients,rice,grassrestoration,afforestation",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
"7,8,16,18,19",217.116278730166,180,"Order: 4","nutrients,rice,grassrestoration,afforestation,BECCS",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
"7,8,16,19",4287.20855887312,4099,"Order: 3","nutrients,rice,grassrestoration,BECCS",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
"7,8,17",2473.27786092357,2373,"Order: 2","nutrients,rice,reforestation",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"7,8,17,19",111.651414744594,121,"Order: 3","nutrients,rice,reforestation,BECCS",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
"7,8,19",676.66628665165,736,"Order: 2","nutrients,rice,BECCS",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"7,9",10626.3725460488,9649,"Order: 1","nutrients,integr_trees",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"7,9,12",132922.953260611,122863,"Order: 2","nutrients,integr_trees,biochar",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"7,9,12,13",31325.0396107434,27675,"Order: 3","nutrients,integr_trees,biochar,ew",0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
"7,9,12,13,14",91.9082022578555,84,"Order: 4","nutrients,integr_trees,biochar,ew,wetrestoration",0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0
"7,9,12,13,14,19",71.7045298057971,86,"Order: 5","nutrients,integr_trees,biochar,ew,wetrestoration,BECCS",0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1
"7,9,12,13,15",34841.6244448505,33091,"Order: 4","nutrients,integr_trees,biochar,ew,peatrestoration",0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
"7,9,12,13,15,18",2643.08901325808,2378,"Order: 5","nutrients,integr_trees,biochar,ew,peatrestoration,afforestation",0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0
"7,9,12,13,15,18,19",1442.43953381244,1211,"Order: 6","nutrients,integr_trees,biochar,ew,peatrestoration,afforestation,BECCS",0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1
"7,9,12,13,15,19",7210.71758620966,6428,"Order: 5","nutrients,integr_trees,biochar,ew,peatrestoration,BECCS",0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1
"7,9,12,13,16",138263.920812056,116076,"Order: 4","nutrients,integr_trees,biochar,ew,grassrestoration",0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0
"7,9,12,13,16,18",483226.342494967,416746,"Order: 5","nutrients,integr_trees,biochar,ew,grassrestoration,afforestation",0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0
"7,9,12,13,16,18,19",271882.8431043,231026,"Order: 6","nutrients,integr_trees,biochar,ew,grassrestoration,afforestation,BECCS",0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1
"7,9,12,13,16,19",11130.3966305008,9355,"Order: 5","nutrients,integr_trees,biochar,ew,grassrestoration,BECCS",0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1
"7,9,12,13,17",1626450.44842282,1514106,"Order: 4","nutrients,integr_trees,biochar,ew,reforestation",0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0
"7,9,12,13,17,19",684066.929582103,616322,"Order: 5","nutrients,integr_trees,biochar,ew,reforestation,BECCS",0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1
"7,9,12,13,19",10647.1793868312,11749,"Order: 4","nutrients,integr_trees,biochar,ew,BECCS",0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1
"7,9,12,14",88.2015999741712,82,"Order: 3","nutrients,integr_trees,biochar,wetrestoration",0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
"7,9,12,14,18",1.66018128696156,2,"Order: 4","nutrients,integr_trees,biochar,wetrestoration,afforestation",0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
"7,9,12,14,18,19",20.4965494166594,17,"Order: 5","nutrients,integr_trees,biochar,wetrestoration,afforestation,BECCS",0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1
"7,9,12,14,19",37.063652951573,33,"Order: 4","nutrients,integr_trees,biochar,wetrestoration,BECCS",0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
"7,9,12,15",23342.1763238844,20201,"Order: 3","nutrients,integr_trees,biochar,peatrestoration",0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
"7,9,12,15,18",932.967642742642,834,"Order: 4","nutrients,integr_trees,biochar,peatrestoration,afforestation",0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
"7,9,12,15,18,19",378.990930244675,322,"Order: 5","nutrients,integr_trees,biochar,peatrestoration,afforestation,BECCS",0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1
"7,9,12,15,19",737.434999719305,648,"Order: 4","nutrients,integr_trees,biochar,peatrestoration,BECCS",0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
"7,9,12,16",446696.02430047,400949,"Order: 3","nutrients,integr_trees,biochar,grassrestoration",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
"7,9,12,16,18",309174.247773262,288177,"Order: 4","nutrients,integr_trees,biochar,grassrestoration,afforestation",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
"7,9,12,16,18,19",86237.4642924007,90447,"Order: 5","nutrients,integr_trees,biochar,grassrestoration,afforestation,BECCS",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1
"7,9,12,16,19",57373.873984688,54584,"Order: 4","nutrients,integr_trees,biochar,grassrestoration,BECCS",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
"7,9,12,17",268560.695917502,269740,"Order: 3","nutrients,integr_trees,biochar,reforestation",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
"7,9,12,17,19",78228.0115877331,79471,"Order: 4","nutrients,integr_trees,biochar,reforestation,BECCS",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
"7,9,12,19",28923.6202228366,26392,"Order: 3","nutrients,integr_trees,biochar,BECCS",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
"7,9,13",3882.02040938257,3583,"Order: 2","nutrients,integr_trees,ew",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"7,9,13,14",83.6072789508274,81,"Order: 3","nutrients,integr_trees,ew,wetrestoration",0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
"7,9,13,14,18",4.45095518062973,4,"Order: 4","nutrients,integr_trees,ew,wetrestoration,afforestation",0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
"7,9,13,14,19",320.955807371439,382,"Order: 4","nutrients,integr_trees,ew,wetrestoration,BECCS",0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
"7,9,13,15",5002.00954498254,5274,"Order: 3","nutrients,integr_trees,ew,peatrestoration",0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
"7,9,13,15,18",225.231282545108,198,"Order: 4","nutrients,integr_trees,ew,peatrestoration,afforestation",0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
"7,9,13,15,18,19",97.8510445998428,82,"Order: 5","nutrients,integr_trees,ew,peatrestoration,afforestation,BECCS",0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1
"7,9,13,15,19",629.400677849671,557,"Order: 4","nutrients,integr_trees,ew,peatrestoration,BECCS",0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
"7,9,13,16",11587.3552401168,9980,"Order: 3","nutrients,integr_trees,ew,grassrestoration",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
"7,9,13,16,18",80369.3882035406,70521,"Order: 4","nutrients,integr_trees,ew,grassrestoration,afforestation",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
"7,9,13,16,18,19",15053.9003424593,12750,"Order: 5","nutrients,integr_trees,ew,grassrestoration,afforestation,BECCS",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1
"7,9,13,16,19",534.608938051612,453,"Order: 4","nutrients,integr_trees,ew,grassrestoration,BECCS",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
"7,9,13,17",262423.218333177,265080,"Order: 3","nutrients,integr_trees,ew,reforestation",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
"7,9,13,17,19",51349.5327230625,45634,"Order: 4","nutrients,integr_trees,ew,reforestation,BECCS",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
"7,9,13,19",1620.40368320854,1699,"Order: 3","nutrients,integr_trees,ew,BECCS",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
"7,9,14",181.635341095144,181,"Order: 2","nutrients,integr_trees,wetrestoration",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"7,9,14,18",9.05150515247995,10,"Order: 3","nutrients,integr_trees,wetrestoration,afforestation",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
"7,9,14,18,19",11.6775638741925,10,"Order: 4","nutrients,integr_trees,wetrestoration,afforestation,BECCS",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
"7,9,14,19",81.5322665229428,88,"Order: 3","nutrients,integr_trees,wetrestoration,BECCS",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"7,9,15",4986.03734692244,4283,"Order: 2","nutrients,integr_trees,peatrestoration",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"7,9,15,18",444.946290659536,378,"Order: 3","nutrients,integr_trees,peatrestoration,afforestation",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
"7,9,15,18,19",305.129951416773,253,"Order: 4","nutrients,integr_trees,peatrestoration,afforestation,BECCS",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1
"7,9,15,19",42.2249138666849,39,"Order: 3","nutrients,integr_trees,peatrestoration,BECCS",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"7,9,16",67967.3652538475,62214,"Order: 2","nutrients,integr_trees,grassrestoration",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"7,9,16,18",156460.1289598,140814,"Order: 3","nutrients,integr_trees,grassrestoration,afforestation",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
"7,9,16,18,19",5026.05684369136,4488,"Order: 4","nutrients,integr_trees,grassrestoration,afforestation,BECCS",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
"7,9,16,19",8894.8417418545,8681,"Order: 3","nutrients,integr_trees,grassrestoration,BECCS",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
"7,9,17",60263.7510390211,53694,"Order: 2","nutrients,integr_trees,reforestation",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"7,9,17,19",6090.52884765242,5748,"Order: 3","nutrients,integr_trees,reforestation,BECCS",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
"7,9,19",2702.96545221432,2663,"Order: 2","nutrients,integr_trees,BECCS",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
